Montagne,Date,Name,Nationality,Cause of death
Kangchenjunga,13/05/1992,Wanda Rutkiewicz,Poland,Unknown (disappeared)
Kangchenjunga,25/04/1992,Ang Dorje,Nepal,Suffocation
Kangchenjunga,25/04/1992,Lhakpa Nuru,Nepal,Suffocation
Kangchenjunga,16/05/1991,Pasang II,India,Fall
Kangchenjunga,03/05/1991,Jože Rozman,Yugoslavia,Fall
Kangchenjunga,03/05/1991,Marija Frantar,Yugoslavia,Fall
Kangchenjunga,20/12/1989,Tchiring Chumbi Lama,Nepal,Fall (on Yalung Kang)
Kangchenjunga,20/12/1989,Ang Dawa,Nepal,Fall (on Yalung Kang)
Kangchenjunga,20/12/1989,Kyo-sup Jin,South Korea,Fall (on Yalung Kang)
Kangchenjunga,17/05/1988,Sanjay Borole,India,Hypothermia
Kangchenjunga,31/05/1987,Chander Singh,India,Fall
Kangchenjunga,25/05/1987,Chorten Tshering,India,Disappearance
Kangchenjunga,25/05/1987,Phu Pu Bhutia,India,Disappearance
Kangchenjunga,25/05/1987,Phu Dorje II,India,Disappearance
Kangchenjunga,11/01/1986,Andrzej Czok,Poland,Pulmonary edema
Kangchenjunga,22/04/1985,Borut Bergant,Yugoslavia,Fall (on Yalung Kang)
Kangchenjunga,14/01/1985,Chris Chandler,United States,HACE
Kangchenjunga,15/10/1981,Jean-Jacques Ricouard,France,Fall
Kangchenjunga,04/05/1980,Alfonso Medina,Mexico,Disappeared (on Yalung Kang)
Kangchenjunga,04/05/1980,Hugo Saldaña,Mexico,Disappeared (on Yalung Kang)
Kangchenjunga,12/04/1977,Sukhvinder Singh,India,Fall
Kangchenjunga,15/05/1973,Takeo Matsuda,Japan,Hit by rock (after summitting Yalung Kang)
Kangchenjunga,26/05/1955,Pemi Dorje,India,Fall
Kangchenjunga,09/08/1931,Hermann Schaller,Germany,Fall
Kangchenjunga,09/08/1931,Pasang 1,India,Fall
Kangchenjunga,08/1931,Babu Lall,India,Illness (blackwater fever)
Kangchenjunga,07/1931,Lobsang,India,Illness
Kangchenjunga,09/05/1930,Chettan,India,Avalanche
Kangchenjunga,27/05/1929,Edgar Farmer,United States,Disappeared
Kangchenjunga,09/1905,three unnamed others,India,Fall
Kangchenjunga,09/1905,Alexis Pache,Switzerland,Fall
Kangchenjunga,28/08/1905,unnamed porter,India,Fall
Lhotse,17/05/2019,Ivan Tomov,Bulgaria,HACE
Lhotse,17/05/2018,Rustem Amirov,Russia,Altitude sickness
Lhotse,19/05/2016,Ang Furba Sherpa,Nepal,Fall
Lhotse,27/04/2015,Hiroshi Yamagata,Japan,Avalanche (2015 Mount Everest avalanches)
Lhotse,25/04/2015,Zhen-Fang Ge,China,Avalanche (2015 Mount Everest avalanches)
Lhotse,18/04/2014,Asman Tamang,Nepal,Avalanche (2014 Mount Everest ice avalanche)
Lhotse,20/05/2013,Hsiao-Shih Lee,Taiwan,Altitude sickness
Lhotse,16/10/2012,Temba Sherpa,Nepal,Fall
Lhotse,21/05/2012,Milan Sedláček,Czech Republic,Exhaustion
Lhotse,07/05/2010,Sergey Duganov,Russia,Altitude sickness
Lhotse,25/05/2009,Sergey Samoilov,Kazakhstan,Fall
Lhotse,21/05/2007,Pemba Doma,Nepal,Fall
Lhotse,09/05/2006,Pavel Kalný,Czech Republic,Fall
Lhotse,05/10/2003,Sun-dug Hwang,South Korea,Avalanche (on Lhotse Shar)
Lhotse,05/10/2003,Joo-hoon Park,South Korea,Avalanche (on Lhotse Shar)
Lhotse,17/09/2000,Vladimir Bondarev,Russia,Avalanche
Lhotse,27/05/1997,Vladimir Bashkirov,Russia,Illness
Lhotse,24/10/1989,Jerzy Kukuczka,Poland,Fall
Lhotse,27/09/1987,Antoni (Toni) Sors,Spain,Avalanche (on Lhotse Shar)
Lhotse,27/09/1987,Sergio Escalera,Spain,Avalanche (on Lhotse Shar)
Lhotse,27/09/1987,Francesc Porras,Spain,Avalanche (on Lhotse Shar)
Lhotse,27/09/1987,Antonio Quiñones,Spain,Avalanche (on Lhotse Shar)
Lhotse,14/09/1987,Czesław Jakiel,Poland,Avalanche
Lhotse,30/10/1986,Pedro Alonso,Spain,Fall (on Lhotse Shar)
Lhotse,25/10/1985,Rafał Chołda,Poland,Fall
Lhotse,16/10/1981,Philippe Petten,Switzerland,Disappearance (on Lhotse Shar)
Lhotse,16/10/1981,Pierre Favez,Switzerland,Disappearance (on Lhotse Shar)
Lhotse,17/05/1980,Pasang Nima,Nepal,Avalanche
Lhotse,28/04/1980,Nicolas Jaeger,France,Disappearance (on Lhotse Shar)
Lhotse,12/05/1977,Max Lutz,West Germany,Fall
Lhotse,17/12/1974,Stanislaw Latałło,Poland,Exhaustion
Makalu,24/05/2019,Nima Tshering Sherpa,Nepal,Unknown
Makalu,16/05/2019,Dipankar Ghos,India,Disappearance
Makalu,16/05/2019,Narayan Singh,India,Altitude sickness
Makalu,08/05/2019,Richard Hidalgo,Peru,Unknown
Makalu,14/05/2018,Ang Dawa Sherpa,Nepal,Altitude sickness
Makalu,11/05/2016,Lakpa Sherpa,Nepal,Death possibly due to lack of oxygen
Makalu,11/05/2016,Dawa Tenji Sherpa,Nepal,Death possibly due to lack of oxygen
Makalu,02/05/2014,Yannick Gagneret,France,HACE
Makalu,24/04/2013,Liu Xiang-Yang,China,Fall on the descent from the summit
Makalu,22/05/2011,Joëlle Brupbacher,Switzerland,Altitude sickness
Makalu,30/05/2010,Zaharias (Haris) Kiriakakis,Greece,Disappearance
Makalu,24/05/2009,Sangat Ram Thakur,India,Illness
Makalu,20/05/2008,Nil Prasad Gurung,Nepal,Altitude sickness (?)
Makalu,24/04/2008,Drabey Bahadur Rajan Mongar,Nepal,Fall
Makalu,27/01/2006,Jean-Christophe Lafaille,France,Disappearance
Makalu,15/05/2005,Sumba Sherpa,Nepal,Altitude sickness
Makalu,18/05/2004,Jay Sieger,United States,Fall
Makalu,17/05/2004,Vladislav Terzyul,Ukraine,Fall
Makalu,25/04/2002,Raymond Caughron,United States,Probably exhaustion
Makalu,14/05/2001,Eric Resch,Australia,Disappearance
Makalu,16/05/2000,Bernd Mehnert,Germany,Probably pulmonary embolism
Makalu,11/10/1999,Sange Sherpa,Nepal,Avalanche
Makalu,30/04/1999,Michael Knakkergaard-Jørgensen,Denmark,Fall
Makalu,13/10/1997,Per Lyhne,Denmark,Illness
Makalu,24/05/1997,Igor Bugachevski,Russia,Rockfall
Makalu,21/05/1997,Salavat Khabibullin,Russia,Exhaustion
Makalu,14/05/1996,Anatoli Chlekht,Russia,Fall
Makalu,08/05/1995,David Hume,Australia,Fall
Makalu,08/10/1991,Takumi Ishizaka,Japan,"Exhaustion, Exposure"
Makalu,02/10/1991,Manuel (Manu) Badiola,Spain,Fall
Makalu,14/10/1988,Ryszard Kołakowski,Poland,Disappearance
Makalu,25/09/1986,Marcel Rüedi,Switzerland,Exhaustion
Makalu,13/09/1984,Ram Bahadur Shresta,Nepal,Pulmonary edema at base camp
Makalu,15/10/1983,Mark Moorhead,Australia,Fall
Makalu,03/10/1983,William Denz,New Zealand,Avalanche
Makalu,26/09/1982,Tadeusz Szulc,Poland,Illness
Makalu,06/10/1978,Andrzej Młynarczyk,Poland,Avalanche
Makalu,25/05/1976,Karel Schubert,Czechoslovakia,"Cold, exhaustion"
Makalu,26/05/1973,Jan Kounický,Czechoslovakia,Fall
Makalu,26/09/1954,Dilli Bahadur Verma,Nepal,Pneumonia
Manaslu,29/09/2021,Brent Seal,Canada,Stroke
Manaslu,28/09/2019,Rita Bladyko,Poland,Altitude sickness
Manaslu,29/09/2018,Roman Hlávko,Czech Republic,Probably fall
Manaslu,08/09/2018,Hiromi Komatsu,Japan,Rescue helicopter crash
Manaslu,25/09/2017,Philip Harvey,United Kingdom,Altitude Sickness
Manaslu,26/10/2016,Hirotaka Onodera,Japan,Fall
Manaslu,10/2015,Zoltan Benedek,Austria,Probably altitude sickness
Manaslu,26/09/2014,Yoshimasa Sasaki,Japan,Fall
Manaslu,04/10/2012,Victor Correa,Colombia,Unknown (disappeared)
Manaslu,23/09/2012,Dominique Ouimet,Canada,Avalanche
Manaslu,23/09/2012,Gregory Ugo Costa,France,Avalanche
Manaslu,23/09/2012,Alberto Magliano,Italy,Avalanche
Manaslu,23/09/2012,Catherine Ricard,France,Avalanche
Manaslu,23/09/2012,Christian Mittermeyer,Germany,Avalanche
Manaslu,23/09/2012,Dawa Dorji Sherpa,Nepal,Avalanche
Manaslu,23/09/2012,Fabrice Priez,France,Avalanche
Manaslu,23/09/2012,Ludovic Challeat,France,Avalanche
Manaslu,23/09/2012,Marti Roig Gasull,Spain,Avalanche
Manaslu,23/09/2012,Phillippe Lucien Bos,France,Avalanche
Manaslu,23/09/2012,Rémy Lécluse,France,Avalanche
Manaslu,11/05/2012,Jafar Naseri,Iran,Unknown (disappeared)
Manaslu,12/05/2011,Tashi Chhiring,Nepal,Unknown (disappeared)
Manaslu,12/05/2011,Bernard Jean Francois Milian,France,Unknown (disappeared)
Manaslu,12/05/2011,Alain Peirre Marie Laurens,France,Unknown (disappeared)
Manaslu,29/04/2011,Eisa Mir-Shekari,Iran,Altitude sickness
Manaslu,24/09/2010,Nobuaki Kuwabara,Japan,Illness
Manaslu,24/04/2010,Chi-won Yun,South Korea,Unknown (disappeared)
Manaslu,24/04/2010,Haeng-su Park,South Korea,Exhaustion
Manaslu,03/10/2009,Franc Oderlap,Slovenia,"Hit by falling seracs, died in hospital"
Manaslu,19/05/2009,Levente Szabó,Hungary,Fall
Manaslu,28/04/2009,Giuseppe Antonelli,Italy,Illness
Manaslu,05/10/2008,Daniel Goulevitch,France,Altitude sickness
Manaslu,13/05/2008,Hasta Bahadur Gurung,Nepal,Illness
Manaslu,28/05/2006,Susan Erica Fear,Australia,Fall in crevasse
Manaslu,13/10/2001,Isao Kuribara,Nepal,"Altitude sickness, Exhaustion"
Manaslu,30/10/1998,Hristo Stantchev,Bulgaria,Fall
Manaslu,26/10/1998,Lenin Granados,Colombia,Avalanche
Manaslu,09/10/1997,Miroslav Rybansky,Slovakia,Collapsed
Manaslu,08/10/1997,Juraj Kardhordo,Slovakia,Unknown (disappeared)
Manaslu,10/1996,Masatsugu Konishi,Japan,Unknown (disappeared)
Manaslu,07/05/1995,Michael Zunk,Germany,Fall
Manaslu,06/05/1995,Jörg Starke,Germany,Fall
Manaslu,22/10/1993,Sergei Jadrychnikov,Russia,Avalanche
Manaslu,21/10/1993,Igor Khmiliar,Russia,Fall
Manaslu,03/10/1992,Sven Vermeiren,Belgium,Fall
Manaslu,02/10/1992,Sylwia Dmowska,Poland,Fall
Manaslu,10/05/1991,Karl Großrubatscher,Italy,Fall
Manaslu,10/05/1991,Gottfried Mutschlechner,Italy,Lightning
Manaslu,07/09/1990,Murat Galiev,Soviet Union,Fall
Manaslu,07/09/1990,Zinur Halitov,Soviet Union,Fall
Manaslu,07/09/1990,Grigory Lunjakov,Soviet Union,Fall
Manaslu,27/03/1990,Nima Wangchuk Sherpa,Nepal,Avalanche
Manaslu,27/03/1990,Charles Schertz,United States,Avalanche
Manaslu,27/03/1990,Nancy Jackson,United States,Avalanche
Manaslu,07/05/1989,Santiago Suarez,Spain,Fall
Manaslu,28/10/1987,Ichigi Kudo,Japan,Fall
Manaslu,04/05/1986,Dieter Oberbichler,Austria,Fall
Manaslu,03/05/1986,Wilhelm Klaiber,West Germany,Unknown (disappeared)
Manaslu,25/10/1985,Nima Norbu Sherpa,Nepal,Avalanche
Manaslu,04/05/1985,Thomas Juen,Austria,Avalanche
Manaslu,11/12/1983,Stanisław Jaworski,Poland,Fall
Manaslu,24/04/1983,Ante Bućan,Yugoslavia,Avalanche
Manaslu,24/04/1983,Nejc Zaplotnik,Yugoslavia,Avalanche
Manaslu,18/12/1982,Takashi Sakuma,Japan,"Cold, Exhaustion"
Manaslu,10/05/1982,Pere Aymerich,Spain,Avalanche
Manaslu,10/05/1982,Enric Font,Spain,Avalanche
Manaslu,08/10/1979,Edgardo Jose Porsellana,Argentina,Avalanche
Manaslu,05/05/1974,Teiko Suzuki,Japan,Unknown (disappeared)
Manaslu,26/04/1972,Andi Schlick,Austria,Unknown (disappeared)
Manaslu,25/04/1972,Franz Jäger,Austria,Unknown (disappeared)
Manaslu,10/04/1972,Wangel,Nepal,Avalanche
Manaslu,10/04/1972,Rinsing Ongyal,Nepal,Avalanche
Manaslu,10/04/1972,Phurba Tenzing,Nepal,Avalanche
Manaslu,10/04/1972,Pemba Rinji (Nawang Chultim),Nepal,Avalanche
Manaslu,10/04/1972,Pasang Nima,Nepal,Avalanche
Manaslu,10/04/1972,Gyalze,Nepal,Avalanche
Manaslu,10/04/1972,Ang Tendi (Ang Dawa),Nepal,Avalanche
Manaslu,10/04/1972,Ang Rita,Nepal,Avalanche
Manaslu,10/04/1972,Ang Mingma (b),Nepal,Avalanche
Manaslu,10/04/1972,Ang Mingma (a),Nepal,Avalanche
Manaslu,10/04/1972,Kazunari Yasuhisha,Japan,Avalanche
Manaslu,10/04/1972,Chang-hee Park,South Korea,Avalanche
Manaslu,10/04/1972,Sae-keon Oh,South Korea,Avalanche
Manaslu,10/04/1972,Joon-haeng Song,South Korea,Avalanche
Manaslu,10/04/1972,Ho-sup Kim,South Korea,Avalanche
Manaslu,04/05/1971,Ki-sup Kim,South Korea,Fall
Nanga-Parbat,24/02/2019,Daniele Nardi,Italy,Unknown
Nanga-Parbat,24/02/2019,Tom Ballard,United Kingdom,Unknown
Nanga-Parbat,27/01/2018,Tomasz Mackiewicz,Poland,Altitude Sickness
Nanga-Parbat,24/06/2017,Alberto Zerain,Spain,Avalanche
Nanga-Parbat,24/06/2017,Mariano Galvan,Argentina,Avalanche
Nanga-Parbat,22/06/2013,Igor Svergun,Ukraine,Killed by Taliban at Diamir Base Camp
Nanga-Parbat,22/06/2013,Badawi Kashaev,Ukraine,Killed by Taliban at Diamir Base Camp
Nanga-Parbat,22/06/2013,Dmitry Konyaev,Ukraine,Killed by Taliban at Diamir Base Camp
Nanga-Parbat,22/06/2013,Rao Jianfeng,China,Killed by Taliban at Diamir Base Camp
Nanga-Parbat,22/06/2013,Yang Chunfeng,China,Killed by Taliban at Diamir Base Camp
Nanga-Parbat,22/06/2013,Honglu Chen,China (USA/China dual national),Killed by Taliban at Diamir Base Camp
Nanga-Parbat,22/06/2013,Sona Sherpa,Nepal,Killed by Taliban at Diamir Base Camp
Nanga-Parbat,22/06/2013,Ernestas Markšaitis,Lithuania,Killed by Taliban at Diamir Base Camp
Nanga-Parbat,22/06/2013,Ali Hussain,Pakistan,Killed by Taliban at Diamir Base Camp
Nanga-Parbat,22/06/2013,Anton Dobes,Slovakia,Killed by Taliban at Diamir Base Camp
Nanga-Parbat,22/06/2013,Peter Sperka,Slovakia,Killed by Taliban at Diamir Base Camp
Nanga-Parbat,06/02/2013,Joel Wischnewski,France,Avalanche
Nanga-Parbat,11/07/2009,Mi-young Go,South Korea,Fall
Nanga-Parbat,10/07/2009,Wolfgang Kölblinger,Austria,Fall
Nanga-Parbat,17/07/2008,Saman Nemati,Iran,Unknown
Nanga-Parbat,15/07/2008,Karl Unterkircher,Italy,Fell into crevasse
Nanga-Parbat,28/07/2006,Naohiro Ozawa,Japan,Unknown
Nanga-Parbat,22/07/2006,José Antonio Delgado,Venezuela,Exposure
Nanga-Parbat,07/2004,Günter Jung,Germany,Fall
Nanga-Parbat,26/07/1998,Hideki Ohmiya,Japan,Fall
Nanga-Parbat,30/07/1997,Joan Colet,Spain,Fell during descent
Nanga-Parbat,20/06/1996,Răzvan Petcu,Romania,Avalanche
Nanga-Parbat,20/06/1996,Gabriel Stana,Romania,Avalanche
Nanga-Parbat,24/06/1994,Antonio Lopez,Spain,Fall
Nanga-Parbat,07/07/1993,Chun-moon Ahn,South Korea,Unknown
Nanga-Parbat,18/08/1990,Osami Nakajima,Japan,Fall
Nanga-Parbat,03/07/1990,Chang-gi Park,South Korea,Fall into a crevasse
Nanga-Parbat,18/07/1989,Tetsuya Baba,Japan,Lightning strike
Nanga-Parbat,23/06/1989,Kwang-ho Kim,South Korea,Fall
Nanga-Parbat,10/07/1985,Piotr Kalmus,Poland,Avalanche
Nanga-Parbat,08/12/1984,Hiromi Kameda,Japan,Fall
Nanga-Parbat,07/07/1984,Fuji Tsunoda,Japan,Avalanche
Nanga-Parbat,07/07/1984,Shigeoh Hida,Japan,Avalanche
Nanga-Parbat,07/07/1984,Nobuyuki Imakyurei,Japan,Avalanche
Nanga-Parbat,07/07/1984,Takashi Kogure,Japan,Avalanche
Nanga-Parbat,12/07/1983,Nobuyoshi Yamada,Japan,Avalanche
Nanga-Parbat,12/07/1983,Yuichiro Takamori,Japan,Avalanche
Nanga-Parbat,12/07/1983,Satoshi Iida,Japan,Avalanche
Nanga-Parbat,17/06/1983,Kazuo Shimura,Japan,Fall
Nanga-Parbat,08/06/1982,Peter Hiltbrand,Switzerland,Altitude sickness
Nanga-Parbat,12/06/1982,Ali Sheikh,Pakistan,Fall
Nanga-Parbat,04/06/1982,Peter Forrer,Switzerland,Avalanche
Nanga-Parbat,28/04/1982,Matloob Hassan Nuri,Pakistan,Fall into crevasse
Nanga-Parbat,31/07/1977,Robert Broughton,United States,Avalanche
Nanga-Parbat,31/07/1977,George Bogel,United States,Avalanche
Nanga-Parbat,26/09/1976,Sebastian (Wastl) Arnold,Austria,Fall
Nanga-Parbat,08/07/1971,Näbi Mantas Hunza,Pakistan,Fall
Nanga-Parbat,29/06/1970,Günther Messner,Italy,Avalanche
Nanga-Parbat,23/06/1962,Siegfried (Sigi) Löw,Germany,Fall
Nanga-Parbat,04/12/1950,John W. Thornley,United Kingdom,Unknown
Nanga-Parbat,04/12/1950,William H. Crace,United Kingdom,Unknown
Nanga-Parbat,14/06/1937,Karl Wien,Germany,Avalanche
Nanga-Parbat,14/06/1937,Martin Pfeffer,Germany,Avalanche
Nanga-Parbat,14/06/1937,Peter Müllritter,Germany,Avalanche
Nanga-Parbat,14/06/1937,Günther Hepp,Germany,Avalanche
Nanga-Parbat,14/06/1937,Hans Hartmann,Germany,Avalanche
Nanga-Parbat,14/06/1937,Adolf Göttner,Germany,Avalanche
Nanga-Parbat,14/06/1937,Pert Fankhauser,Austria,Avalanche
Nanga-Parbat,14/06/1937,Tigmay,British Raj,Avalanche
Nanga-Parbat,14/06/1937,Pasang Norbu,British Raj,Avalanche
Nanga-Parbat,14/06/1937,Nima Tsering I,British Raj,Avalanche
Nanga-Parbat,14/06/1937,Nima Tsering II,British Raj,Avalanche
Nanga-Parbat,14/06/1937,Mingma Tsering,British Raj,Avalanche
Nanga-Parbat,14/06/1937,Karmi,British Raj,Avalanche
Nanga-Parbat,14/06/1937,Gyalgen Monjo,British Raj,Avalanche
Nanga-Parbat,14/06/1937,Chong Karma,British Raj,Avalanche
Nanga-Parbat,14/06/1937,Ang Tshering II,British Raj,Avalanche
Nanga-Parbat,17/07/1934,Willy Merkl,Germany,Unknown
Nanga-Parbat,17/07/1934,Sherpa Gyali,British Raj,Unknown
Nanga-Parbat,12/07/1934,Wilhelm Welzenbach,Germany,Exposure
Nanga-Parbat,10/07/1934,Sherpa Dakshi,British Raj,Unknown
Nanga-Parbat,10/07/1934,Dorje Nima,British Raj,Exposure
Nanga-Parbat,10/07/1934,Nima Tashi,British Raj,Exposure
Nanga-Parbat,10/07/1934,Pinju Norbu,British Raj,Exposure
Nanga-Parbat,09/07/1934,Nima Nurbu,British Raj,Unknown
Nanga-Parbat,09/07/1934,Ulrich Wieland,Germany,Unknown
Nanga-Parbat,08/06/1934,Alfred Drexel,Germany,Pneumonia
Nanga-Parbat,24/08/1895,Albert F. Mummery,United Kingdom,Avalanche
Nanga-Parbat,24/08/1895,Ragobir Thapa Ghurka,Nepal,Avalanche
Nanga-Parbat,24/08/1895,Goman Singh Ghurka,Nepal,Avalanche
Shishapangma,03/05/2018,Boyan Petrov,Bulgaria,Disappearance
Shishapangma,30/09/2016,Pemba Sherpa (Taplejung 8),Nepal,Avalanche
Shishapangma,24/04/2016,Patrik Matiolli,Switzerland,Fall in crevasse
Shishapangma,24/04/2016,Jon Johnston,Australia,Fall in crevasse
Shishapangma,24/09/2014,Sebastian Haag,Germany,Avalanche
Shishapangma,24/09/2014,Andrea Zambaldi,Italy,Avalanche
Shishapangma,11/05/2013,Unknown,Germany,HAPE
Shishapangma,15/10/2009,Roby Piantoni,Italy,Fall
Shishapangma,24/04/2007,Marek Hudák,Slovakia,Disappearance
Shishapangma,31/10/2006,Bruno Carvalho,Portugal,Fall
Shishapangma,03/10/2005,Stanislav Krylov,Russia,Disappearance
Shishapangma,28/09/2005,Martin Oczko,Czech Republic,Altitude sickness
Shishapangma,05/10/1999,Alex Lowe,United States,Avalanche
Shishapangma,05/10/1999,David Bridges,United States,Avalanche
Shishapangma,21/05/1998,Andreino Pasini,Italy,Illness
Shishapangma,05/10/1996,Viktor Pastukh,Ukraine,Avalanche
Shishapangma,05/10/1996,Gennadi Vasilenko,Ukraine,Avalanche
Shishapangma,19/05/1997,Ming-Tse Kuo,Taiwan,Fall
Shishapangma,05/1996,Stefan Sluka,Slovakia,Disappeared on descent
Shishapangma,10/1994,Zdenek Slachta,Czech Republic,Avalanche
Shishapangma,18/09/1994,Tod Gassen,United States,Fall in crevasse
Shishapangma,29/09/1993,Bueoung-tae Park,South Korea,Fall
Shishapangma,20/09/1991,Hidekazu Gomi,Japan,Avalanche
Shishapangma,20/09/1991,Tetsuichi Miyashita,Japan,Avalanche
Shishapangma,22/05/1991,Werner Braun,Germany,Disappearance (probably avalanche)
Shishapangma,22/05/1991,Werner Meichsner,Germany,Disappearance (probably avalanche)
Shishapangma,22/05/1991,Günther Semmler,Germany,Disappearance (probably avalanche)
Shishapangma,22/05/1991,Karl-Heinz Thiele,Germany,Disappearance (probably avalanche)
Shishapangma,15/10/1990,Joan Martinez,Spain,Exposure
Shishapangma,04/10/1989,Luca Leonardi,Switzerland,Avalanche
Shishapangma,28/04/1983,Fritz Luchsinger,Switzerland,Altitude sickness
